config= {'b_value': 5.0, 'c_value': 1.0, 'd_value': 0.0, 'n_agents': 2, 'algorithm': 'reinforce', 'wandb_mode': 'offline', 'num_game_iterations': 10, 'n_epochs': 2000, 'obs_size': 4, 'action_size': 2, 'random_baseline': False, 'embedding_dim': 1, 'binary_reputation': 1, 'other_reputation_threshold': 0.4, 'cooperation_threshold': 0.4, 'optuna_': 0, 'device': 'cpu', 'reputation_in_reward': 0, 'lr_actor': 0.01, 'n_hidden_act': 2, 'hidden_size_act': 16, 'batch_size': 1, 'decayRate': 0.999}
DD= tensor(1.)
Dc= tensor(6.)
Cd= tensor(0.)
CC= tensor(5.)
mv= tensor(6.)
mat= tensor([[1., 6.],
        [0., 5.]])
norm mat= tensor([[0.1667, 1.0000],
        [0.0000, 0.8333]])
is_dummy= [0, 0]
Agent 0
Agent 1
==========>Epoch= 0
 action, distrib= tensor(1) tensor([0.4129, 0.5871], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4891, 0.5109], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3687, 0.6313], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4630, 0.5370], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3456, 0.6544], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4920, 0.5080], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
==========>Epoch= 2
 action, distrib= tensor(0) tensor([0.3849, 0.6151], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3047, 0.6953], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3594, 0.6406], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2844, 0.7156], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4705, 0.5295], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3882, 0.6118], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3839, 0.6161], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3130, 0.6870], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4245, 0.5755], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3497, 0.6503], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4043, 0.5957], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3294, 0.6706], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4705, 0.5295], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3882, 0.6118], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3839, 0.6161], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3130, 0.6870], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4083, 0.5917], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3175, 0.6825], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3839, 0.6161], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3130, 0.6870], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
==========>Epoch= 3
 action, distrib= tensor(0) tensor([0.2813, 0.7187], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3771, 0.6229], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3236, 0.6764], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4063, 0.5937], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3838, 0.6162], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4690, 0.5310], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3314, 0.6686], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4020, 0.5980], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3332, 0.6668], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4369, 0.5631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2899, 0.7101], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3720, 0.6280], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3431, 0.6569], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4131, 0.5869], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.2899, 0.7101], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3720, 0.6280], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3314, 0.6686], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4020, 0.5980], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3327, 0.6673], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4204, 0.5796], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
==========>Epoch= 4
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3134, 0.6866], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3796, 0.6204], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3665, 0.6335], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3639, 0.6361], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4091, 0.5909], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3696, 0.6304], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4184, 0.5816], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4786, 0.5214], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5131, 0.4869], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3656, 0.6344], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4287, 0.5713], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3134, 0.6866], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3796, 0.6204], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4786, 0.5214], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5131, 0.4869], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3172, 0.6828], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3724, 0.6276], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
==========>Epoch= 5
 action, distrib= tensor(0) tensor([0.3369, 0.6631], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3794, 0.6206], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3373, 0.6627], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3848, 0.6152], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3821, 0.6179], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4376, 0.5624], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3850, 0.6150], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4294, 0.5706], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3373, 0.6627], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3848, 0.6152], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3840, 0.6160], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4483, 0.5517], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4342, 0.5658], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5043, 0.4957], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4863, 0.5137], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.5300, 0.4700], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3857, 0.6143], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4143, 0.5857], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4847, 0.5153], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5387, 0.4613], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
==========>Epoch= 6
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4403, 0.5597], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.5105, 0.4895], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3938, 0.6062], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4422, 0.5578], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3568, 0.6432], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3803, 0.6197], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3568, 0.6432], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3803, 0.6197], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3568, 0.6432], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3803, 0.6197], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.3568, 0.6432], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.3803, 0.6197], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4023, 0.5977], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4177, 0.5823], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4028, 0.5972], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4492, 0.5508], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4310, 0.5690], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4258, 0.5742], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4310, 0.5690], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4258, 0.5742], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4310, 0.5690], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4258, 0.5742], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(0) tensor([0.4310, 0.5690], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4258, 0.5742], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4310, 0.5690], grad_fn=<SoftmaxBackward0>)
 action, distrib= tensor(1) tensor([0.4258, 0.5742], grad_fn=<SoftmaxBackward0>)
